area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c07;c08a;c09;c10;c11;c12;c13;c14;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;004502;059;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;73,1144852312373;010150004502;01015000450205907;010150004502059071;202403
1;10150;004702;051;01;1;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;3;2711;44,5692610196733;010150004702;01015000470205101;010150004702051011;202403
1;10150;004702;051;02;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2711;44,5692610196733;010150004702;01015000470205102;010150004702051021;202403
1;10150;004702;051;03;1;2;2;1;2;2;2;2;2;2;2;2;2;3;2;3;3;2711;44,5692610196733;010150004702;01015000470205103;010150004702051031;202403
1;10150;004702;051;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;44,5692610196733;010150004702;01015000470205104;010150004702051041;202403
1;10150;004702;051;05;1;3;2;1;2;1;2;2;2;2;2;2;2;3;2;3;1;2711;44,5692610196733;010150004702;01015000470205105;010150004702051051;202403
1;10150;004702;051;06;1;3;2;1;1;2;2;2;2;2;2;2;2;3;1;2;2;2711;44,5692610196733;010150004702;01015000470205106;010150004702051061;202403
1;10150;004702;051;07;1;3;2;1;2;2;2;2;2;2;2;2;2;3;2;3;2;2711;44,5692610196733;010150004702;01015000470205107;010150004702051071;202403
1;10150;006504;042;01;1;2;2;1;2;2;2;2;2;2;2;2;2;3;2;2;2;2711;142,119561140032;010150006504;01015000650404201;010150006504042011;202403
1;10150;006504;042;02;1;2;2;2;3;3;3;3;2;3;3;3;3;2;2;2;2;2711;142,119561140032;010150006504;01015000650404202;010150006504042021;202403
1;10150;006504;042;03;1;2;2;2;3;2;2;2;2;2;2;2;2;1;2;2;2;2711;142,119561140032;010150006504;01015000650404203;010150006504042031;202403
1;10150;006504;042;04;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;2711;142,119561140032;010150006504;01015000650404204;010150006504042041;202403
1;10150;006504;042;05;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2711;142,119561140032;010150006504;01015000650404205;010150006504042051;202403
1;10150;006504;042;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;142,119561140032;010150006504;01015000650404206;010150006504042061;202403
1;10150;006504;042;07;1;2;2;2;3;3;2;3;2;3;2;3;2;2;2;2;2;2711;142,119561140032;010150006504;01015000650404207;010150006504042071;202403
1;10150;006602;042;01;1;3;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;39,6983764069957;010150006602;01015000660204201;010150006602042011;202403
1;10150;006602;042;02;1;3;2;2;2;2;2;3;2;3;2;3;2;3;3;3;3;2713;39,6983764069957;010150006602;01015000660204202;010150006602042021;202403
1;10150;006602;042;03;1;3;3;3;2;2;2;2;2;2;2;2;2;3;2;2;2;2713;39,6983764069957;010150006602;01015000660204203;010150006602042031;202403
